Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	1287.0	1290.0	0	12000.0	Hairy Woodpecker	haiwoo	0.1035	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	1287.0
2	Spectrogram 1	1	2472.0	2475.0	0	12000.0	Golden-crowned Kinglet	gockin	0.5842	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	2472.0
3	Spectrogram 1	1	2484.0	2487.0	0	12000.0	Golden-crowned Kinglet	gockin	0.2075	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	2484.0
4	Spectrogram 1	1	2499.0	2502.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1388	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	2499.0
5	Spectrogram 1	1	2508.0	2511.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1784	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	2508.0
6	Spectrogram 1	1	2523.0	2526.0	0	12000.0	Golden-crowned Kinglet	gockin	0.3329	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	2523.0
7	Spectrogram 1	1	2529.0	2532.0	0	12000.0	Golden-crowned Kinglet	gockin	0.3951	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	2529.0
8	Spectrogram 1	1	2544.0	2547.0	0	12000.0	Golden-crowned Kinglet	gockin	0.6312	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	2544.0
9	Spectrogram 1	1	2544.0	2547.0	0	12000.0	Brown Creeper	brncre	0.1428	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	2544.0
10	Spectrogram 1	1	2553.0	2556.0	0	12000.0	Golden-crowned Kinglet	gockin	0.6327	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	2553.0
11	Spectrogram 1	1	2574.0	2577.0	0	12000.0	Golden-crowned Kinglet	gockin	0.5407	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	2574.0
12	Spectrogram 1	1	2619.0	2622.0	0	12000.0	Golden-crowned Kinglet	gockin	0.5428	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	2619.0
13	Spectrogram 1	1	2631.0	2634.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1695	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	2631.0
14	Spectrogram 1	1	2637.0	2640.0	0	12000.0	Golden-crowned Kinglet	gockin	0.3942	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	2637.0
15	Spectrogram 1	1	2646.0	2649.0	0	12000.0	Golden-crowned Kinglet	gockin	0.7821	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	2646.0
16	Spectrogram 1	1	2673.0	2676.0	0	12000.0	Golden-crowned Kinglet	gockin	0.5822	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	2673.0
17	Spectrogram 1	1	2730.0	2733.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1092	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	2730.0
18	Spectrogram 1	1	2748.0	2751.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1717	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	2748.0
19	Spectrogram 1	1	2772.0	2775.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1952	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	2772.0
20	Spectrogram 1	1	2778.0	2781.0	0	12000.0	Golden-crowned Kinglet	gockin	0.2251	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	2778.0
21	Spectrogram 1	1	2784.0	2787.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1506	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	2784.0
22	Spectrogram 1	1	2799.0	2802.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1250	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	2799.0
23	Spectrogram 1	1	2817.0	2820.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1726	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	2817.0
24	Spectrogram 1	1	2826.0	2829.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1488	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	2826.0
25	Spectrogram 1	1	2898.0	2901.0	0	12000.0	Golden-crowned Kinglet	gockin	0.2452	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	2898.0
26	Spectrogram 1	1	3249.0	3252.0	0	12000.0	Cedar Waxwing	cedwax	0.3962	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	3249.0
27	Spectrogram 1	1	3264.0	3267.0	0	12000.0	Cedar Waxwing	cedwax	0.1072	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	3264.0
28	Spectrogram 1	1	3291.0	3294.0	0	12000.0	Cedar Waxwing	cedwax	0.3428	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	3291.0
29	Spectrogram 1	1	3345.0	3348.0	0	12000.0	Cedar Waxwing	cedwax	0.1160	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	3345.0
30	Spectrogram 1	1	3459.0	3462.0	0	12000.0	Cedar Waxwing	cedwax	0.1982	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240801_041700.wav	3459.0
