Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	780.0	783.0	0	12000.0	Yellow-bellied Flycatcher	yebfly	0.2034	D:/Island_Songbirds_2024/BIGA-1/Data\BIGA-1_20240717_040900.wav	780.0
2	Spectrogram 1	1	924.0	927.0	0	12000.0	Swainson's Thrush	swathr	0.4253	D:/Island_Songbirds_2024/BIGA-1/Data\BIGA-1_20240717_040900.wav	924.0
3	Spectrogram 1	1	927.0	930.0	0	12000.0	Swainson's Thrush	swathr	0.3206	D:/Island_Songbirds_2024/BIGA-1/Data\BIGA-1_20240717_040900.wav	927.0
4	Spectrogram 1	1	930.0	933.0	0	12000.0	Swainson's Thrush	swathr	0.9537	D:/Island_Songbirds_2024/BIGA-1/Data\BIGA-1_20240717_040900.wav	930.0
5	Spectrogram 1	1	933.0	936.0	0	12000.0	Swainson's Thrush	swathr	0.9177	D:/Island_Songbirds_2024/BIGA-1/Data\BIGA-1_20240717_040900.wav	933.0
6	Spectrogram 1	1	939.0	942.0	0	12000.0	Swainson's Thrush	swathr	0.9618	D:/Island_Songbirds_2024/BIGA-1/Data\BIGA-1_20240717_040900.wav	939.0
7	Spectrogram 1	1	942.0	945.0	0	12000.0	Swainson's Thrush	swathr	0.7932	D:/Island_Songbirds_2024/BIGA-1/Data\BIGA-1_20240717_040900.wav	942.0
8	Spectrogram 1	1	945.0	948.0	0	12000.0	Swainson's Thrush	swathr	0.5524	D:/Island_Songbirds_2024/BIGA-1/Data\BIGA-1_20240717_040900.wav	945.0
9	Spectrogram 1	1	948.0	951.0	0	12000.0	Swainson's Thrush	swathr	0.9171	D:/Island_Songbirds_2024/BIGA-1/Data\BIGA-1_20240717_040900.wav	948.0
10	Spectrogram 1	1	951.0	954.0	0	12000.0	Swainson's Thrush	swathr	0.5605	D:/Island_Songbirds_2024/BIGA-1/Data\BIGA-1_20240717_040900.wav	951.0
11	Spectrogram 1	1	954.0	957.0	0	12000.0	Swainson's Thrush	swathr	0.6819	D:/Island_Songbirds_2024/BIGA-1/Data\BIGA-1_20240717_040900.wav	954.0
12	Spectrogram 1	1	957.0	960.0	0	12000.0	Swainson's Thrush	swathr	0.7379	D:/Island_Songbirds_2024/BIGA-1/Data\BIGA-1_20240717_040900.wav	957.0
