Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	75.0	78.0	0	12000.0	Black-capped Chickadee	bkcchi	0.1161	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240910_061002.wav	75.0
2	Spectrogram 1	1	96.0	99.0	0	12000.0	Black-capped Chickadee	bkcchi	0.1188	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240910_061002.wav	96.0
3	Spectrogram 1	1	102.0	105.0	0	12000.0	Black-capped Chickadee	bkcchi	0.5345	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240910_061002.wav	102.0
4	Spectrogram 1	1	111.0	114.0	0	12000.0	Black-capped Chickadee	bkcchi	0.1440	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240910_061002.wav	111.0
5	Spectrogram 1	1	117.0	120.0	0	12000.0	Black-capped Chickadee	bkcchi	0.2547	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240910_061002.wav	117.0
6	Spectrogram 1	1	177.0	180.0	0	12000.0	American Crow	amecro	0.1485	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240910_061002.wav	177.0
7	Spectrogram 1	1	213.0	216.0	0	12000.0	Cedar Waxwing	cedwax	0.7128	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240910_061002.wav	213.0
8	Spectrogram 1	1	216.0	219.0	0	12000.0	Cedar Waxwing	cedwax	0.4155	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240910_061002.wav	216.0
9	Spectrogram 1	1	219.0	222.0	0	12000.0	Cedar Waxwing	cedwax	0.3367	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240910_061002.wav	219.0
10	Spectrogram 1	1	222.0	225.0	0	12000.0	Cedar Waxwing	cedwax	0.6631	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240910_061002.wav	222.0
11	Spectrogram 1	1	225.0	228.0	0	12000.0	Cedar Waxwing	cedwax	0.3866	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240910_061002.wav	225.0
