Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	600.0	603.0	0	12000.0	Swainson's Thrush	swathr	0.1887	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	600.0
2	Spectrogram 1	1	747.0	750.0	0	12000.0	Song Sparrow	sonspa	0.2225	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	747.0
3	Spectrogram 1	1	1146.0	1149.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1515	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1146.0
4	Spectrogram 1	1	1170.0	1173.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.2143	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1170.0
5	Spectrogram 1	1	1185.0	1188.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.2137	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1185.0
6	Spectrogram 1	1	1197.0	1200.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1149	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1197.0
7	Spectrogram 1	1	1215.0	1218.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1724	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1215.0
8	Spectrogram 1	1	1227.0	1230.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.3498	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1227.0
9	Spectrogram 1	1	1239.0	1242.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.4913	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1239.0
10	Spectrogram 1	1	1248.0	1251.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.3230	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1248.0
11	Spectrogram 1	1	1251.0	1254.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1789	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1251.0
12	Spectrogram 1	1	1263.0	1266.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.3411	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1263.0
13	Spectrogram 1	1	1272.0	1275.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.2758	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1272.0
14	Spectrogram 1	1	1284.0	1287.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1400	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1284.0
15	Spectrogram 1	1	1296.0	1299.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.2627	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1296.0
16	Spectrogram 1	1	1299.0	1302.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.2327	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1299.0
17	Spectrogram 1	1	1311.0	1314.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.2430	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1311.0
18	Spectrogram 1	1	1326.0	1329.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1193	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1326.0
19	Spectrogram 1	1	1332.0	1335.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1712	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1332.0
20	Spectrogram 1	1	1341.0	1344.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1003	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1341.0
21	Spectrogram 1	1	1350.0	1353.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.2388	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1350.0
22	Spectrogram 1	1	1359.0	1362.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1999	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1359.0
23	Spectrogram 1	1	1362.0	1365.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1565	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1362.0
24	Spectrogram 1	1	1368.0	1371.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.2044	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1368.0
25	Spectrogram 1	1	1377.0	1380.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1459	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1377.0
26	Spectrogram 1	1	1380.0	1383.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1631	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1380.0
27	Spectrogram 1	1	1389.0	1392.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.2122	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1389.0
28	Spectrogram 1	1	1398.0	1401.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.2254	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1398.0
29	Spectrogram 1	1	1404.0	1407.0	0	12000.0	White-winged Crossbill	whwcro	0.1561	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1404.0
30	Spectrogram 1	1	1407.0	1410.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1941	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1407.0
31	Spectrogram 1	1	1428.0	1431.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.3064	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1428.0
32	Spectrogram 1	1	1434.0	1437.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1749	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1434.0
33	Spectrogram 1	1	1437.0	1440.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.2128	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1437.0
34	Spectrogram 1	1	1443.0	1446.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.2881	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1443.0
35	Spectrogram 1	1	1449.0	1452.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1091	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1449.0
36	Spectrogram 1	1	1452.0	1455.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1622	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1452.0
37	Spectrogram 1	1	1464.0	1467.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.2097	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1464.0
38	Spectrogram 1	1	1464.0	1467.0	0	12000.0	Brown Creeper	brncre	0.1537	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1464.0
39	Spectrogram 1	1	1467.0	1470.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1240	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1467.0
40	Spectrogram 1	1	1473.0	1476.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.3093	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1473.0
41	Spectrogram 1	1	1482.0	1485.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.2946	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1482.0
42	Spectrogram 1	1	1527.0	1530.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1771	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1527.0
43	Spectrogram 1	1	1572.0	1575.0	0	12000.0	Brown Creeper	brncre	0.1161	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1572.0
44	Spectrogram 1	1	1587.0	1590.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1194	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1587.0
45	Spectrogram 1	1	1671.0	1674.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.2135	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1671.0
46	Spectrogram 1	1	1722.0	1725.0	0	12000.0	Song Sparrow	sonspa	0.1106	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1722.0
47	Spectrogram 1	1	1734.0	1737.0	0	12000.0	Song Sparrow	sonspa	0.1404	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1734.0
48	Spectrogram 1	1	1749.0	1752.0	0	12000.0	Song Sparrow	sonspa	0.6410	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1749.0
49	Spectrogram 1	1	1755.0	1758.0	0	12000.0	Common Raven	comrav	0.1039	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1755.0
50	Spectrogram 1	1	1761.0	1764.0	0	12000.0	Black-capped Chickadee	bkcchi	0.1846	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1761.0
51	Spectrogram 1	1	1764.0	1767.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1299	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1764.0
52	Spectrogram 1	1	1770.0	1773.0	0	12000.0	Song Sparrow	sonspa	0.1193	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1770.0
53	Spectrogram 1	1	1782.0	1785.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.3665	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1782.0
54	Spectrogram 1	1	1797.0	1800.0	0	12000.0	Palm Warbler	palwar	0.2345	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1797.0
55	Spectrogram 1	1	1818.0	1821.0	0	12000.0	Common Raven	comrav	0.3887	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1818.0
56	Spectrogram 1	1	1851.0	1854.0	0	12000.0	Black-capped Chickadee	bkcchi	0.1150	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1851.0
57	Spectrogram 1	1	1878.0	1881.0	0	12000.0	Song Sparrow	sonspa	0.2209	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1878.0
58	Spectrogram 1	1	1887.0	1890.0	0	12000.0	Song Sparrow	sonspa	0.2551	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1887.0
59	Spectrogram 1	1	1896.0	1899.0	0	12000.0	Song Sparrow	sonspa	0.1818	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1896.0
60	Spectrogram 1	1	1905.0	1908.0	0	12000.0	Song Sparrow	sonspa	0.2434	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1905.0
61	Spectrogram 1	1	1914.0	1917.0	0	12000.0	Song Sparrow	sonspa	0.2434	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1914.0
62	Spectrogram 1	1	1941.0	1944.0	0	12000.0	Song Sparrow	sonspa	0.1120	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1941.0
63	Spectrogram 1	1	1956.0	1959.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.3344	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1956.0
64	Spectrogram 1	1	1965.0	1968.0	0	12000.0	Song Sparrow	sonspa	0.1011	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1965.0
65	Spectrogram 1	1	1974.0	1977.0	0	12000.0	Song Sparrow	sonspa	0.2072	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1974.0
66	Spectrogram 1	1	1980.0	1983.0	0	12000.0	Mourning Dove	moudov	0.1416	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1980.0
67	Spectrogram 1	1	1983.0	1986.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1947	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1983.0
68	Spectrogram 1	1	1989.0	1992.0	0	12000.0	Black-capped Chickadee	bkcchi	0.1732	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1989.0
69	Spectrogram 1	1	1992.0	1995.0	0	12000.0	Song Sparrow	sonspa	0.2501	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	1992.0
70	Spectrogram 1	1	2013.0	2016.0	0	12000.0	Song Sparrow	sonspa	0.1693	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	2013.0
71	Spectrogram 1	1	2022.0	2025.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1578	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	2022.0
72	Spectrogram 1	1	2031.0	2034.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1804	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	2031.0
73	Spectrogram 1	1	2034.0	2037.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1253	D:/Island_Songbirds_2024/DHSH-1/Data\DHSH-1_20240623_034500.wav	2034.0
