Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	1332.0	1335.0	0	12000.0	American Crow	amecro	0.9407	D:/Island_Songbirds_2024/DOSH-1/Data\DOSH-1_20240823_044200.wav	1332.0
2	Spectrogram 1	1	1335.0	1338.0	0	12000.0	American Crow	amecro	0.9881	D:/Island_Songbirds_2024/DOSH-1/Data\DOSH-1_20240823_044200.wav	1335.0
3	Spectrogram 1	1	1347.0	1350.0	0	12000.0	American Crow	amecro	0.9052	D:/Island_Songbirds_2024/DOSH-1/Data\DOSH-1_20240823_044200.wav	1347.0
4	Spectrogram 1	1	1350.0	1353.0	0	12000.0	American Crow	amecro	0.9354	D:/Island_Songbirds_2024/DOSH-1/Data\DOSH-1_20240823_044200.wav	1350.0
5	Spectrogram 1	1	1461.0	1464.0	0	12000.0	American Crow	amecro	0.8890	D:/Island_Songbirds_2024/DOSH-1/Data\DOSH-1_20240823_044200.wav	1461.0
6	Spectrogram 1	1	1464.0	1467.0	0	12000.0	American Crow	amecro	0.9345	D:/Island_Songbirds_2024/DOSH-1/Data\DOSH-1_20240823_044200.wav	1464.0
7	Spectrogram 1	1	1518.0	1521.0	0	12000.0	Common Raven	comrav	0.7172	D:/Island_Songbirds_2024/DOSH-1/Data\DOSH-1_20240823_044200.wav	1518.0
8	Spectrogram 1	1	1518.0	1521.0	0	12000.0	American Crow	amecro	0.6220	D:/Island_Songbirds_2024/DOSH-1/Data\DOSH-1_20240823_044200.wav	1518.0
9	Spectrogram 1	1	1521.0	1524.0	0	12000.0	American Crow	amecro	0.9800	D:/Island_Songbirds_2024/DOSH-1/Data\DOSH-1_20240823_044200.wav	1521.0
10	Spectrogram 1	1	1524.0	1527.0	0	12000.0	American Crow	amecro	0.2568	D:/Island_Songbirds_2024/DOSH-1/Data\DOSH-1_20240823_044200.wav	1524.0
11	Spectrogram 1	1	1695.0	1698.0	0	12000.0	American Crow	amecro	0.9537	D:/Island_Songbirds_2024/DOSH-1/Data\DOSH-1_20240823_044200.wav	1695.0
