Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0	3.0	0	12000.0	Winter Wren	winwre3	0.9209	D:/Island_Songbirds_2024/FLIN-1/Data\FLIN-1_20240607_044702.wav	0
2	Spectrogram 1	1	3.0	6.0	0	12000.0	Winter Wren	winwre3	0.5016	D:/Island_Songbirds_2024/FLIN-1/Data\FLIN-1_20240607_044702.wav	3.0
3	Spectrogram 1	1	6.0	9.0	0	12000.0	Black-throated Green Warbler	btnwar	0.6877	D:/Island_Songbirds_2024/FLIN-1/Data\FLIN-1_20240607_044702.wav	6.0
4	Spectrogram 1	1	12.0	15.0	0	12000.0	Winter Wren	winwre3	0.9449	D:/Island_Songbirds_2024/FLIN-1/Data\FLIN-1_20240607_044702.wav	12.0
5	Spectrogram 1	1	15.0	18.0	0	12000.0	Winter Wren	winwre3	0.3701	D:/Island_Songbirds_2024/FLIN-1/Data\FLIN-1_20240607_044702.wav	15.0
6	Spectrogram 1	1	15.0	18.0	0	12000.0	Black-throated Green Warbler	btnwar	0.2189	D:/Island_Songbirds_2024/FLIN-1/Data\FLIN-1_20240607_044702.wav	15.0
7	Spectrogram 1	1	24.0	27.0	0	12000.0	Winter Wren	winwre3	0.5988	D:/Island_Songbirds_2024/FLIN-1/Data\FLIN-1_20240607_044702.wav	24.0
8	Spectrogram 1	1	27.0	30.0	0	12000.0	Black-throated Green Warbler	btnwar	0.1523	D:/Island_Songbirds_2024/FLIN-1/Data\FLIN-1_20240607_044702.wav	27.0
9	Spectrogram 1	1	33.0	36.0	0	12000.0	Winter Wren	winwre3	0.8444	D:/Island_Songbirds_2024/FLIN-1/Data\FLIN-1_20240607_044702.wav	33.0
10	Spectrogram 1	1	39.0	42.0	0	12000.0	Black-throated Green Warbler	btnwar	0.1360	D:/Island_Songbirds_2024/FLIN-1/Data\FLIN-1_20240607_044702.wav	39.0
11	Spectrogram 1	1	42.0	45.0	0	12000.0	Winter Wren	winwre3	0.6401	D:/Island_Songbirds_2024/FLIN-1/Data\FLIN-1_20240607_044702.wav	42.0
12	Spectrogram 1	1	45.0	48.0	0	12000.0	Winter Wren	winwre3	0.6759	D:/Island_Songbirds_2024/FLIN-1/Data\FLIN-1_20240607_044702.wav	45.0
