Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0	3.0	0	12000.0	American Crow	amecro	0.2370	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	0
2	Spectrogram 1	1	54.0	57.0	0	12000.0	American Crow	amecro	0.2804	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	54.0
3	Spectrogram 1	1	63.0	66.0	0	12000.0	American Crow	amecro	0.4819	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	63.0
4	Spectrogram 1	1	66.0	69.0	0	12000.0	American Crow	amecro	0.3934	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	66.0
5	Spectrogram 1	1	75.0	78.0	0	12000.0	American Crow	amecro	0.1526	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	75.0
6	Spectrogram 1	1	78.0	81.0	0	12000.0	American Crow	amecro	0.1978	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	78.0
7	Spectrogram 1	1	81.0	84.0	0	12000.0	American Crow	amecro	0.2933	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	81.0
8	Spectrogram 1	1	84.0	87.0	0	12000.0	American Crow	amecro	0.3962	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	84.0
9	Spectrogram 1	1	87.0	90.0	0	12000.0	American Crow	amecro	0.1870	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	87.0
10	Spectrogram 1	1	90.0	93.0	0	12000.0	American Crow	amecro	0.1008	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	90.0
11	Spectrogram 1	1	93.0	96.0	0	12000.0	American Crow	amecro	0.3002	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	93.0
12	Spectrogram 1	1	99.0	102.0	0	12000.0	American Crow	amecro	0.2885	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	99.0
13	Spectrogram 1	1	114.0	117.0	0	12000.0	American Crow	amecro	0.2152	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	114.0
14	Spectrogram 1	1	126.0	129.0	0	12000.0	American Crow	amecro	0.1000	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	126.0
15	Spectrogram 1	1	129.0	132.0	0	12000.0	American Crow	amecro	0.2115	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	129.0
16	Spectrogram 1	1	132.0	135.0	0	12000.0	American Crow	amecro	0.4186	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	132.0
17	Spectrogram 1	1	135.0	138.0	0	12000.0	American Crow	amecro	0.3126	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	135.0
18	Spectrogram 1	1	138.0	141.0	0	12000.0	American Crow	amecro	0.6569	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	138.0
19	Spectrogram 1	1	192.0	195.0	0	12000.0	American Crow	amecro	0.1511	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	192.0
20	Spectrogram 1	1	192.0	195.0	0	12000.0	Common Raven	comrav	0.1033	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	192.0
21	Spectrogram 1	1	195.0	198.0	0	12000.0	American Crow	amecro	0.5436	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	195.0
22	Spectrogram 1	1	198.0	201.0	0	12000.0	American Crow	amecro	0.3606	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	198.0
23	Spectrogram 1	1	780.0	783.0	0	12000.0	Golden-crowned Kinglet	gockin	0.2358	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	780.0
24	Spectrogram 1	1	780.0	783.0	0	12000.0	Brown Creeper	brncre	0.1014	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	780.0
25	Spectrogram 1	1	852.0	855.0	0	12000.0	Golden-crowned Kinglet	gockin	0.2914	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	852.0
26	Spectrogram 1	1	1215.0	1218.0	0	12000.0	Golden-crowned Kinglet	gockin	0.8098	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	1215.0
27	Spectrogram 1	1	1218.0	1221.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1290	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	1218.0
28	Spectrogram 1	1	1224.0	1227.0	0	12000.0	Golden-crowned Kinglet	gockin	0.8625	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	1224.0
29	Spectrogram 1	1	1227.0	1230.0	0	12000.0	Golden-crowned Kinglet	gockin	0.8678	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	1227.0
30	Spectrogram 1	1	1230.0	1233.0	0	12000.0	Golden-crowned Kinglet	gockin	0.4088	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	1230.0
31	Spectrogram 1	1	1236.0	1239.0	0	12000.0	Golden-crowned Kinglet	gockin	0.7824	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	1236.0
32	Spectrogram 1	1	3177.0	3180.0	0	12000.0	Brown Creeper	brncre	0.1364	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	3177.0
33	Spectrogram 1	1	3186.0	3189.0	0	12000.0	Cape May Warbler	camwar	0.1085	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	3186.0
34	Spectrogram 1	1	3189.0	3192.0	0	12000.0	White-throated Sparrow	whtspa	0.5745	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	3189.0
35	Spectrogram 1	1	3192.0	3195.0	0	12000.0	White-throated Sparrow	whtspa	0.4354	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	3192.0
36	Spectrogram 1	1	3195.0	3198.0	0	12000.0	White-throated Sparrow	whtspa	0.3086	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	3195.0
37	Spectrogram 1	1	3198.0	3201.0	0	12000.0	White-throated Sparrow	whtspa	0.1797	D:/Island_Songbirds_2024/GRWA-3/Data\GRWA-3_20241002_173900.wav	3198.0
