Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	51.0	54.0	0	12000.0	Hermit Thrush	herthr	0.2741	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	51.0
2	Spectrogram 1	1	57.0	60.0	0	12000.0	Hermit Thrush	herthr	0.1818	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	57.0
3	Spectrogram 1	1	72.0	75.0	0	12000.0	Swainson's Thrush	swathr	0.5775	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	72.0
4	Spectrogram 1	1	96.0	99.0	0	12000.0	Swainson's Thrush	swathr	0.5108	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	96.0
5	Spectrogram 1	1	102.0	105.0	0	12000.0	Swainson's Thrush	swathr	0.1980	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	102.0
6	Spectrogram 1	1	132.0	135.0	0	12000.0	Swainson's Thrush	swathr	0.3170	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	132.0
7	Spectrogram 1	1	132.0	135.0	0	12000.0	Hermit Thrush	herthr	0.1362	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	132.0
8	Spectrogram 1	1	138.0	141.0	0	12000.0	Hermit Thrush	herthr	0.4248	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	138.0
9	Spectrogram 1	1	144.0	147.0	0	12000.0	Hermit Thrush	herthr	0.4582	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	144.0
10	Spectrogram 1	1	150.0	153.0	0	12000.0	Hermit Thrush	herthr	0.6455	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	150.0
11	Spectrogram 1	1	153.0	156.0	0	12000.0	Hermit Thrush	herthr	0.1078	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	153.0
12	Spectrogram 1	1	165.0	168.0	0	12000.0	Hermit Thrush	herthr	0.2048	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	165.0
13	Spectrogram 1	1	165.0	168.0	0	12000.0	Swainson's Thrush	swathr	0.1287	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	165.0
14	Spectrogram 1	1	174.0	177.0	0	12000.0	Hermit Thrush	herthr	0.1637	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	174.0
15	Spectrogram 1	1	192.0	195.0	0	12000.0	Hermit Thrush	herthr	0.5223	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	192.0
16	Spectrogram 1	1	219.0	222.0	0	12000.0	Hermit Thrush	herthr	0.1629	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	219.0
17	Spectrogram 1	1	225.0	228.0	0	12000.0	Hermit Thrush	herthr	0.4560	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	225.0
18	Spectrogram 1	1	228.0	231.0	0	12000.0	Swainson's Thrush	swathr	0.1306	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	228.0
19	Spectrogram 1	1	237.0	240.0	0	12000.0	Hermit Thrush	herthr	0.8918	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	237.0
20	Spectrogram 1	1	246.0	249.0	0	12000.0	Hermit Thrush	herthr	0.6891	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	246.0
21	Spectrogram 1	1	249.0	252.0	0	12000.0	Hermit Thrush	herthr	0.3104	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	249.0
22	Spectrogram 1	1	258.0	261.0	0	12000.0	Hermit Thrush	herthr	0.1935	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	258.0
23	Spectrogram 1	1	261.0	264.0	0	12000.0	Swainson's Thrush	swathr	0.3793	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	261.0
24	Spectrogram 1	1	270.0	273.0	0	12000.0	Hermit Thrush	herthr	0.3172	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	270.0
25	Spectrogram 1	1	273.0	276.0	0	12000.0	Hermit Thrush	herthr	0.6531	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	273.0
26	Spectrogram 1	1	279.0	282.0	0	12000.0	Hermit Thrush	herthr	0.3373	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	279.0
27	Spectrogram 1	1	303.0	306.0	0	12000.0	Hermit Thrush	herthr	0.2123	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	303.0
28	Spectrogram 1	1	309.0	312.0	0	12000.0	Hermit Thrush	herthr	0.1089	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	309.0
29	Spectrogram 1	1	351.0	354.0	0	12000.0	Hermit Thrush	herthr	0.5334	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	351.0
30	Spectrogram 1	1	357.0	360.0	0	12000.0	Hermit Thrush	herthr	0.1112	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	357.0
31	Spectrogram 1	1	366.0	369.0	0	12000.0	Hermit Thrush	herthr	0.1905	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	366.0
32	Spectrogram 1	1	384.0	387.0	0	12000.0	Hermit Thrush	herthr	0.1408	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	384.0
33	Spectrogram 1	1	390.0	393.0	0	12000.0	Hermit Thrush	herthr	0.5421	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	390.0
34	Spectrogram 1	1	402.0	405.0	0	12000.0	Hermit Thrush	herthr	0.4000	D:/Island_Songbirds_2024/INSA-1/Data\INSA-1_20240623_194900.wav	402.0
