Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	510.0	513.0	0	12000.0	American Crow	amecro	0.1498	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	510.0
2	Spectrogram 1	1	1731.0	1734.0	0	12000.0	Red-breasted Nuthatch	rebnut	0.1224	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	1731.0
3	Spectrogram 1	1	1947.0	1950.0	0	12000.0	American Crow	amecro	0.1119	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	1947.0
4	Spectrogram 1	1	1956.0	1959.0	0	12000.0	American Crow	amecro	0.2565	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	1956.0
5	Spectrogram 1	1	2157.0	2160.0	0	12000.0	American Crow	amecro	0.3049	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2157.0
6	Spectrogram 1	1	2160.0	2163.0	0	12000.0	American Crow	amecro	0.4742	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2160.0
7	Spectrogram 1	1	2169.0	2172.0	0	12000.0	American Crow	amecro	0.8164	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2169.0
8	Spectrogram 1	1	2172.0	2175.0	0	12000.0	American Crow	amecro	0.6139	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2172.0
9	Spectrogram 1	1	2172.0	2175.0	0	12000.0	Common Raven	comrav	0.1858	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2172.0
10	Spectrogram 1	1	2181.0	2184.0	0	12000.0	American Crow	amecro	0.4293	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2181.0
11	Spectrogram 1	1	2181.0	2184.0	0	12000.0	Common Raven	comrav	0.1523	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2181.0
12	Spectrogram 1	1	2184.0	2187.0	0	12000.0	American Crow	amecro	0.4930	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2184.0
13	Spectrogram 1	1	2184.0	2187.0	0	12000.0	Common Raven	comrav	0.1931	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2184.0
14	Spectrogram 1	1	2190.0	2193.0	0	12000.0	American Crow	amecro	0.7180	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2190.0
15	Spectrogram 1	1	2199.0	2202.0	0	12000.0	American Crow	amecro	0.6837	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2199.0
16	Spectrogram 1	1	2205.0	2208.0	0	12000.0	American Crow	amecro	0.7808	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2205.0
17	Spectrogram 1	1	2208.0	2211.0	0	12000.0	American Crow	amecro	0.8300	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2208.0
18	Spectrogram 1	1	2223.0	2226.0	0	12000.0	American Crow	amecro	0.1908	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2223.0
19	Spectrogram 1	1	2226.0	2229.0	0	12000.0	American Crow	amecro	0.7292	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2226.0
20	Spectrogram 1	1	2229.0	2232.0	0	12000.0	American Crow	amecro	0.3840	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2229.0
21	Spectrogram 1	1	2229.0	2232.0	0	12000.0	Common Raven	comrav	0.1286	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2229.0
22	Spectrogram 1	1	2235.0	2238.0	0	12000.0	American Crow	amecro	0.7986	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2235.0
23	Spectrogram 1	1	2238.0	2241.0	0	12000.0	American Crow	amecro	0.5961	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2238.0
24	Spectrogram 1	1	2241.0	2244.0	0	12000.0	American Crow	amecro	0.5775	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2241.0
25	Spectrogram 1	1	2244.0	2247.0	0	12000.0	American Crow	amecro	0.7321	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2244.0
26	Spectrogram 1	1	2247.0	2250.0	0	12000.0	American Crow	amecro	0.5522	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2247.0
27	Spectrogram 1	1	2250.0	2253.0	0	12000.0	American Crow	amecro	0.3437	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2250.0
28	Spectrogram 1	1	2253.0	2256.0	0	12000.0	American Crow	amecro	0.3744	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2253.0
29	Spectrogram 1	1	2277.0	2280.0	0	12000.0	American Crow	amecro	0.7345	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2277.0
30	Spectrogram 1	1	2280.0	2283.0	0	12000.0	American Crow	amecro	0.8235	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2280.0
31	Spectrogram 1	1	2283.0	2286.0	0	12000.0	American Crow	amecro	0.6478	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2283.0
32	Spectrogram 1	1	2286.0	2289.0	0	12000.0	American Crow	amecro	0.4249	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2286.0
33	Spectrogram 1	1	2301.0	2304.0	0	12000.0	American Crow	amecro	0.3799	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2301.0
34	Spectrogram 1	1	2313.0	2316.0	0	12000.0	American Crow	amecro	0.2147	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2313.0
35	Spectrogram 1	1	2316.0	2319.0	0	12000.0	American Crow	amecro	0.4517	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2316.0
36	Spectrogram 1	1	2322.0	2325.0	0	12000.0	American Crow	amecro	0.1061	D:/Island_Songbirds_2024/KNIG-1/Data\KNIG-1_20240916_051100.wav	2322.0
