Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	87.0	90.0	0	12000.0	Common Raven	comrav	0.1097	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	87.0
2	Spectrogram 1	1	102.0	105.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.3185	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	102.0
3	Spectrogram 1	1	120.0	123.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.6450	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	120.0
4	Spectrogram 1	1	144.0	147.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.2220	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	144.0
5	Spectrogram 1	1	207.0	210.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1870	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	207.0
6	Spectrogram 1	1	219.0	222.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1117	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	219.0
7	Spectrogram 1	1	249.0	252.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1879	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	249.0
8	Spectrogram 1	1	261.0	264.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1440	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	261.0
9	Spectrogram 1	1	351.0	354.0	0	12000.0	Common Raven	comrav	0.1367	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	351.0
10	Spectrogram 1	1	366.0	369.0	0	12000.0	American Crow	amecro	0.1344	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	366.0
11	Spectrogram 1	1	372.0	375.0	0	12000.0	American Crow	amecro	0.6173	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	372.0
12	Spectrogram 1	1	375.0	378.0	0	12000.0	Common Raven	comrav	0.1260	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	375.0
13	Spectrogram 1	1	405.0	408.0	0	12000.0	American Crow	amecro	0.3146	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	405.0
14	Spectrogram 1	1	408.0	411.0	0	12000.0	American Crow	amecro	0.2433	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	408.0
15	Spectrogram 1	1	429.0	432.0	0	12000.0	American Crow	amecro	0.1097	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	429.0
16	Spectrogram 1	1	507.0	510.0	0	12000.0	Golden-crowned Kinglet	gockin	0.2698	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	507.0
17	Spectrogram 1	1	513.0	516.0	0	12000.0	Golden-crowned Kinglet	gockin	0.3522	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	513.0
18	Spectrogram 1	1	552.0	555.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.3774	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	552.0
19	Spectrogram 1	1	642.0	645.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1248	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	642.0
20	Spectrogram 1	1	690.0	693.0	0	12000.0	Golden-crowned Kinglet	gockin	0.4201	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	690.0
21	Spectrogram 1	1	735.0	738.0	0	12000.0	Golden-crowned Kinglet	gockin	0.6103	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	735.0
22	Spectrogram 1	1	744.0	747.0	0	12000.0	Brown Creeper	brncre	0.1897	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	744.0
23	Spectrogram 1	1	744.0	747.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1723	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	744.0
24	Spectrogram 1	1	753.0	756.0	0	12000.0	Golden-crowned Kinglet	gockin	0.2090	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	753.0
25	Spectrogram 1	1	759.0	762.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1680	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	759.0
26	Spectrogram 1	1	768.0	771.0	0	12000.0	Brown Creeper	brncre	0.1338	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	768.0
27	Spectrogram 1	1	777.0	780.0	0	12000.0	Golden-crowned Kinglet	gockin	0.7716	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	777.0
28	Spectrogram 1	1	780.0	783.0	0	12000.0	Golden-crowned Kinglet	gockin	0.8488	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	780.0
29	Spectrogram 1	1	846.0	849.0	0	12000.0	Black-backed Woodpecker	bkbwoo	0.1193	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	846.0
30	Spectrogram 1	1	861.0	864.0	0	12000.0	Golden-crowned Kinglet	gockin	0.2138	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	861.0
31	Spectrogram 1	1	861.0	864.0	0	12000.0	Blackburnian Warbler	bkbwar	0.1273	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	861.0
32	Spectrogram 1	1	864.0	867.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1655	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	864.0
33	Spectrogram 1	1	933.0	936.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1846	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	933.0
34	Spectrogram 1	1	933.0	936.0	0	12000.0	Brown Creeper	brncre	0.1241	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	933.0
35	Spectrogram 1	1	1263.0	1266.0	0	12000.0	Common Raven	comrav	0.2070	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1263.0
36	Spectrogram 1	1	1341.0	1344.0	0	12000.0	Common Raven	comrav	0.3644	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1341.0
37	Spectrogram 1	1	1419.0	1422.0	0	12000.0	Black-backed Woodpecker	bkbwoo	0.2041	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1419.0
38	Spectrogram 1	1	1431.0	1434.0	0	12000.0	Common Raven	comrav	0.2061	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1431.0
39	Spectrogram 1	1	1527.0	1530.0	0	12000.0	Common Raven	comrav	0.1033	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1527.0
40	Spectrogram 1	1	1533.0	1536.0	0	12000.0	American Crow	amecro	0.1247	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1533.0
41	Spectrogram 1	1	1536.0	1539.0	0	12000.0	American Crow	amecro	0.1276	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1536.0
42	Spectrogram 1	1	1545.0	1548.0	0	12000.0	American Crow	amecro	0.1974	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1545.0
43	Spectrogram 1	1	1584.0	1587.0	0	12000.0	American Crow	amecro	0.2391	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1584.0
44	Spectrogram 1	1	1590.0	1593.0	0	12000.0	American Crow	amecro	0.1294	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1590.0
45	Spectrogram 1	1	1593.0	1596.0	0	12000.0	American Crow	amecro	0.1705	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1593.0
46	Spectrogram 1	1	1638.0	1641.0	0	12000.0	Common Raven	comrav	0.1026	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1638.0
47	Spectrogram 1	1	1644.0	1647.0	0	12000.0	American Crow	amecro	0.2240	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1644.0
48	Spectrogram 1	1	1656.0	1659.0	0	12000.0	Common Raven	comrav	0.2341	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1656.0
49	Spectrogram 1	1	1659.0	1662.0	0	12000.0	American Crow	amecro	0.2057	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1659.0
50	Spectrogram 1	1	1668.0	1671.0	0	12000.0	Black-billed Cuckoo	bkbcuc	0.3327	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1668.0
51	Spectrogram 1	1	1713.0	1716.0	0	12000.0	Common Raven	comrav	0.1036	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1713.0
52	Spectrogram 1	1	1737.0	1740.0	0	12000.0	American Crow	amecro	0.2219	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1737.0
53	Spectrogram 1	1	1740.0	1743.0	0	12000.0	American Crow	amecro	0.1228	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1740.0
54	Spectrogram 1	1	1752.0	1755.0	0	12000.0	Common Raven	comrav	0.1640	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1752.0
55	Spectrogram 1	1	1764.0	1767.0	0	12000.0	American Crow	amecro	0.1719	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1764.0
56	Spectrogram 1	1	1764.0	1767.0	0	12000.0	Brown Creeper	brncre	0.1013	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1764.0
57	Spectrogram 1	1	1767.0	1770.0	0	12000.0	American Crow	amecro	0.3156	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1767.0
58	Spectrogram 1	1	1776.0	1779.0	0	12000.0	Common Raven	comrav	0.1126	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1776.0
59	Spectrogram 1	1	1779.0	1782.0	0	12000.0	American Crow	amecro	0.2638	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1779.0
60	Spectrogram 1	1	1788.0	1791.0	0	12000.0	Common Raven	comrav	0.1148	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1788.0
61	Spectrogram 1	1	1809.0	1812.0	0	12000.0	American Crow	amecro	0.1680	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1809.0
62	Spectrogram 1	1	1818.0	1821.0	0	12000.0	American Crow	amecro	0.2017	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1818.0
63	Spectrogram 1	1	1845.0	1848.0	0	12000.0	White-breasted Nuthatch	whbnut	0.1305	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1845.0
64	Spectrogram 1	1	1869.0	1872.0	0	12000.0	American Crow	amecro	0.2330	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1869.0
65	Spectrogram 1	1	1896.0	1899.0	0	12000.0	American Crow	amecro	0.1466	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1896.0
66	Spectrogram 1	1	1902.0	1905.0	0	12000.0	Blackburnian Warbler	bkbwar	0.1337	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1902.0
67	Spectrogram 1	1	1929.0	1932.0	0	12000.0	Black-backed Woodpecker	bkbwoo	0.1434	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1929.0
68	Spectrogram 1	1	1947.0	1950.0	0	12000.0	American Crow	amecro	0.1145	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1947.0
69	Spectrogram 1	1	1974.0	1977.0	0	12000.0	Swainson's Thrush	swathr	0.1540	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	1974.0
70	Spectrogram 1	1	2016.0	2019.0	0	12000.0	Yellow-bellied Sapsucker	yebsap	0.1172	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	2016.0
71	Spectrogram 1	1	2046.0	2049.0	0	12000.0	Hermit Thrush	herthr	0.1988	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	2046.0
72	Spectrogram 1	1	2049.0	2052.0	0	12000.0	Hermit Thrush	herthr	0.2065	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	2049.0
73	Spectrogram 1	1	2049.0	2052.0	0	12000.0	Swainson's Thrush	swathr	0.1007	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	2049.0
74	Spectrogram 1	1	2052.0	2055.0	0	12000.0	Swainson's Thrush	swathr	0.4909	D:/Island_Songbirds_2024/LAKE-2/Data\LAKE-2_20240513_191900.wav	2052.0
