Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	3.0	6.0	0	12000.0	American Crow	amecro	0.4471	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	3.0
2	Spectrogram 1	1	6.0	9.0	0	12000.0	American Crow	amecro	0.5348	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	6.0
3	Spectrogram 1	1	18.0	21.0	0	12000.0	American Crow	amecro	0.1222	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	18.0
4	Spectrogram 1	1	21.0	24.0	0	12000.0	American Crow	amecro	0.1256	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	21.0
5	Spectrogram 1	1	24.0	27.0	0	12000.0	American Crow	amecro	0.3399	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	24.0
6	Spectrogram 1	1	27.0	30.0	0	12000.0	American Crow	amecro	0.6255	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	27.0
7	Spectrogram 1	1	30.0	33.0	0	12000.0	American Crow	amecro	0.1169	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	30.0
8	Spectrogram 1	1	36.0	39.0	0	12000.0	American Crow	amecro	0.6469	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	36.0
9	Spectrogram 1	1	39.0	42.0	0	12000.0	American Crow	amecro	0.6447	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	39.0
10	Spectrogram 1	1	45.0	48.0	0	12000.0	American Crow	amecro	0.1435	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	45.0
11	Spectrogram 1	1	48.0	51.0	0	12000.0	American Crow	amecro	0.6370	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	48.0
12	Spectrogram 1	1	51.0	54.0	0	12000.0	American Crow	amecro	0.1441	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	51.0
13	Spectrogram 1	1	60.0	63.0	0	12000.0	American Crow	amecro	0.4384	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	60.0
14	Spectrogram 1	1	63.0	66.0	0	12000.0	American Crow	amecro	0.1662	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	63.0
15	Spectrogram 1	1	66.0	69.0	0	12000.0	American Crow	amecro	0.5855	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	66.0
16	Spectrogram 1	1	69.0	72.0	0	12000.0	American Crow	amecro	0.3129	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	69.0
17	Spectrogram 1	1	75.0	78.0	0	12000.0	American Crow	amecro	0.3162	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	75.0
18	Spectrogram 1	1	78.0	81.0	0	12000.0	American Crow	amecro	0.3419	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	78.0
19	Spectrogram 1	1	81.0	84.0	0	12000.0	American Crow	amecro	0.4037	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	81.0
20	Spectrogram 1	1	93.0	96.0	0	12000.0	American Crow	amecro	0.1124	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	93.0
21	Spectrogram 1	1	120.0	123.0	0	12000.0	Dark-eyed Junco	daejun	0.1373	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	120.0
22	Spectrogram 1	1	123.0	126.0	0	12000.0	American Crow	amecro	0.1260	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	123.0
23	Spectrogram 1	1	129.0	132.0	0	12000.0	Black-throated Green Warbler	btnwar	0.3929	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	129.0
24	Spectrogram 1	1	129.0	132.0	0	12000.0	American Crow	amecro	0.1304	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	129.0
25	Spectrogram 1	1	135.0	138.0	0	12000.0	American Crow	amecro	0.9032	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	135.0
26	Spectrogram 1	1	141.0	144.0	0	12000.0	Cedar Waxwing	cedwax	0.1344	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	141.0
27	Spectrogram 1	1	144.0	147.0	0	12000.0	American Crow	amecro	0.3046	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	144.0
28	Spectrogram 1	1	165.0	168.0	0	12000.0	American Crow	amecro	0.1415	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	165.0
29	Spectrogram 1	1	171.0	174.0	0	12000.0	American Crow	amecro	0.3484	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	171.0
30	Spectrogram 1	1	177.0	180.0	0	12000.0	American Crow	amecro	0.1230	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	177.0
31	Spectrogram 1	1	180.0	183.0	0	12000.0	American Crow	amecro	0.3283	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	180.0
32	Spectrogram 1	1	186.0	189.0	0	12000.0	Evening Grosbeak	evegro	0.1008	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	186.0
33	Spectrogram 1	1	189.0	192.0	0	12000.0	Common Raven	comrav	0.1983	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	189.0
34	Spectrogram 1	1	198.0	201.0	0	12000.0	American Crow	amecro	0.8025	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	198.0
35	Spectrogram 1	1	201.0	204.0	0	12000.0	American Crow	amecro	0.4743	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	201.0
36	Spectrogram 1	1	204.0	207.0	0	12000.0	American Crow	amecro	0.8621	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	204.0
37	Spectrogram 1	1	210.0	213.0	0	12000.0	Song Sparrow	sonspa	0.1921	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	210.0
38	Spectrogram 1	1	216.0	219.0	0	12000.0	Song Sparrow	sonspa	0.3885	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	216.0
39	Spectrogram 1	1	219.0	222.0	0	12000.0	American Crow	amecro	0.8380	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	219.0
40	Spectrogram 1	1	222.0	225.0	0	12000.0	American Crow	amecro	0.4950	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	222.0
41	Spectrogram 1	1	222.0	225.0	0	12000.0	Common Raven	comrav	0.1997	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	222.0
42	Spectrogram 1	1	225.0	228.0	0	12000.0	Black-throated Green Warbler	btnwar	0.7328	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	225.0
43	Spectrogram 1	1	228.0	231.0	0	12000.0	Song Sparrow	sonspa	0.3498	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	228.0
44	Spectrogram 1	1	237.0	240.0	0	12000.0	Song Sparrow	sonspa	0.2592	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	237.0
45	Spectrogram 1	1	240.0	243.0	0	12000.0	American Crow	amecro	0.1112	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	240.0
46	Spectrogram 1	1	243.0	246.0	0	12000.0	American Crow	amecro	0.8518	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	243.0
47	Spectrogram 1	1	246.0	249.0	0	12000.0	Song Sparrow	sonspa	0.4434	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	246.0
48	Spectrogram 1	1	252.0	255.0	0	12000.0	American Crow	amecro	0.1290	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	252.0
49	Spectrogram 1	1	255.0	258.0	0	12000.0	Song Sparrow	sonspa	0.2457	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	255.0
50	Spectrogram 1	1	258.0	261.0	0	12000.0	Song Sparrow	sonspa	0.7175	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	258.0
51	Spectrogram 1	1	261.0	264.0	0	12000.0	American Crow	amecro	0.1427	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	261.0
52	Spectrogram 1	1	264.0	267.0	0	12000.0	American Crow	amecro	0.9387	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	264.0
53	Spectrogram 1	1	267.0	270.0	0	12000.0	Song Sparrow	sonspa	0.6181	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	267.0
54	Spectrogram 1	1	270.0	273.0	0	12000.0	Brown Creeper	brncre	0.2049	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	270.0
55	Spectrogram 1	1	276.0	279.0	0	12000.0	American Crow	amecro	0.5937	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	276.0
56	Spectrogram 1	1	279.0	282.0	0	12000.0	American Crow	amecro	0.8537	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	279.0
57	Spectrogram 1	1	282.0	285.0	0	12000.0	Black-throated Green Warbler	btnwar	0.9427	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	282.0
58	Spectrogram 1	1	285.0	288.0	0	12000.0	American Crow	amecro	0.3712	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	285.0
59	Spectrogram 1	1	288.0	291.0	0	12000.0	American Crow	amecro	0.3445	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	288.0
60	Spectrogram 1	1	303.0	306.0	0	12000.0	American Crow	amecro	0.9200	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	303.0
61	Spectrogram 1	1	315.0	318.0	0	12000.0	American Crow	amecro	0.2047	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	315.0
62	Spectrogram 1	1	318.0	321.0	0	12000.0	Common Raven	comrav	0.1437	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	318.0
63	Spectrogram 1	1	321.0	324.0	0	12000.0	American Crow	amecro	0.9420	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	321.0
64	Spectrogram 1	1	330.0	333.0	0	12000.0	American Crow	amecro	0.6576	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	330.0
65	Spectrogram 1	1	336.0	339.0	0	12000.0	American Crow	amecro	0.3765	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	336.0
66	Spectrogram 1	1	339.0	342.0	0	12000.0	American Crow	amecro	0.2316	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	339.0
67	Spectrogram 1	1	345.0	348.0	0	12000.0	Black-throated Green Warbler	btnwar	0.1953	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	345.0
68	Spectrogram 1	1	348.0	351.0	0	12000.0	Black-throated Green Warbler	btnwar	0.3603	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	348.0
69	Spectrogram 1	1	351.0	354.0	0	12000.0	American Crow	amecro	0.8709	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	351.0
70	Spectrogram 1	1	354.0	357.0	0	12000.0	American Crow	amecro	0.9236	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	354.0
71	Spectrogram 1	1	357.0	360.0	0	12000.0	American Crow	amecro	0.3738	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	357.0
72	Spectrogram 1	1	363.0	366.0	0	12000.0	American Crow	amecro	0.9155	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	363.0
73	Spectrogram 1	1	369.0	372.0	0	12000.0	American Crow	amecro	0.3905	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	369.0
74	Spectrogram 1	1	375.0	378.0	0	12000.0	Black-throated Green Warbler	btnwar	0.1776	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	375.0
75	Spectrogram 1	1	378.0	381.0	0	12000.0	American Crow	amecro	0.3942	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	378.0
76	Spectrogram 1	1	381.0	384.0	0	12000.0	American Crow	amecro	0.7809	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	381.0
77	Spectrogram 1	1	393.0	396.0	0	12000.0	Black-throated Green Warbler	btnwar	0.6140	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	393.0
78	Spectrogram 1	1	396.0	399.0	0	12000.0	American Crow	amecro	0.9596	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	396.0
79	Spectrogram 1	1	405.0	408.0	0	12000.0	American Crow	amecro	0.5714	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	405.0
80	Spectrogram 1	1	405.0	408.0	0	12000.0	Black-throated Green Warbler	btnwar	0.4673	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	405.0
81	Spectrogram 1	1	408.0	411.0	0	12000.0	American Crow	amecro	0.8975	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	408.0
82	Spectrogram 1	1	411.0	414.0	0	12000.0	Song Sparrow	sonspa	0.1499	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	411.0
83	Spectrogram 1	1	423.0	426.0	0	12000.0	American Crow	amecro	0.9153	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	423.0
84	Spectrogram 1	1	429.0	432.0	0	12000.0	Black-throated Green Warbler	btnwar	0.4643	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	429.0
85	Spectrogram 1	1	435.0	438.0	0	12000.0	American Crow	amecro	0.9182	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	435.0
86	Spectrogram 1	1	444.0	447.0	0	12000.0	Black-throated Green Warbler	btnwar	0.7395	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	444.0
87	Spectrogram 1	1	450.0	453.0	0	12000.0	American Crow	amecro	0.7172	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	450.0
88	Spectrogram 1	1	453.0	456.0	0	12000.0	Black-throated Green Warbler	btnwar	0.1081	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	453.0
89	Spectrogram 1	1	456.0	459.0	0	12000.0	Song Sparrow	sonspa	0.2432	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	456.0
90	Spectrogram 1	1	459.0	462.0	0	12000.0	Common Raven	comrav	0.2401	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	459.0
91	Spectrogram 1	1	462.0	465.0	0	12000.0	American Crow	amecro	0.8556	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	462.0
92	Spectrogram 1	1	468.0	471.0	0	12000.0	Song Sparrow	sonspa	0.1413	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	468.0
93	Spectrogram 1	1	471.0	474.0	0	12000.0	Black-throated Green Warbler	btnwar	0.9374	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	471.0
94	Spectrogram 1	1	474.0	477.0	0	12000.0	Song Sparrow	sonspa	0.1323	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240714_045902.wav	474.0
