Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	795.0	798.0	0	12000.0	Hermit Thrush	herthr	0.2638	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	795.0
2	Spectrogram 1	1	825.0	828.0	0	12000.0	Swainson's Thrush	swathr	0.1016	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	825.0
3	Spectrogram 1	1	831.0	834.0	0	12000.0	Hermit Thrush	herthr	0.2900	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	831.0
4	Spectrogram 1	1	834.0	837.0	0	12000.0	Hermit Thrush	herthr	0.8244	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	834.0
5	Spectrogram 1	1	846.0	849.0	0	12000.0	Hermit Thrush	herthr	0.6011	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	846.0
6	Spectrogram 1	1	870.0	873.0	0	12000.0	Hermit Thrush	herthr	0.3569	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	870.0
7	Spectrogram 1	1	882.0	885.0	0	12000.0	Hermit Thrush	herthr	0.1590	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	882.0
8	Spectrogram 1	1	936.0	939.0	0	12000.0	Boreal Chickadee	borchi2	0.1053	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	936.0
9	Spectrogram 1	1	948.0	951.0	0	12000.0	Hermit Thrush	herthr	0.3610	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	948.0
10	Spectrogram 1	1	963.0	966.0	0	12000.0	Hermit Thrush	herthr	0.2919	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	963.0
11	Spectrogram 1	1	975.0	978.0	0	12000.0	Hermit Thrush	herthr	0.4876	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	975.0
12	Spectrogram 1	1	984.0	987.0	0	12000.0	Hermit Thrush	herthr	0.1000	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	984.0
13	Spectrogram 1	1	990.0	993.0	0	12000.0	Hermit Thrush	herthr	0.7211	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	990.0
14	Spectrogram 1	1	999.0	1002.0	0	12000.0	Hermit Thrush	herthr	0.4454	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	999.0
15	Spectrogram 1	1	1011.0	1014.0	0	12000.0	Black-backed Woodpecker	bkbwoo	0.1209	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1011.0
16	Spectrogram 1	1	1017.0	1020.0	0	12000.0	Hermit Thrush	herthr	0.4037	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1017.0
17	Spectrogram 1	1	1059.0	1062.0	0	12000.0	Hermit Thrush	herthr	0.4901	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1059.0
18	Spectrogram 1	1	1071.0	1074.0	0	12000.0	Hermit Thrush	herthr	0.7050	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1071.0
19	Spectrogram 1	1	1092.0	1095.0	0	12000.0	Hermit Thrush	herthr	0.2268	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1092.0
20	Spectrogram 1	1	1104.0	1107.0	0	12000.0	Hermit Thrush	herthr	0.5840	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1104.0
21	Spectrogram 1	1	1110.0	1113.0	0	12000.0	Hermit Thrush	herthr	0.2878	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1110.0
22	Spectrogram 1	1	1128.0	1131.0	0	12000.0	Hermit Thrush	herthr	0.1296	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1128.0
23	Spectrogram 1	1	1134.0	1137.0	0	12000.0	Hermit Thrush	herthr	0.1310	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1134.0
24	Spectrogram 1	1	1152.0	1155.0	0	12000.0	Hermit Thrush	herthr	0.3991	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1152.0
25	Spectrogram 1	1	1167.0	1170.0	0	12000.0	Hermit Thrush	herthr	0.5809	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1167.0
26	Spectrogram 1	1	1170.0	1173.0	0	12000.0	Black-backed Woodpecker	bkbwoo	0.1318	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1170.0
27	Spectrogram 1	1	1179.0	1182.0	0	12000.0	Hermit Thrush	herthr	0.4612	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1179.0
28	Spectrogram 1	1	1185.0	1188.0	0	12000.0	Hermit Thrush	herthr	0.4940	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1185.0
29	Spectrogram 1	1	1188.0	1191.0	0	12000.0	Hermit Thrush	herthr	0.2083	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1188.0
30	Spectrogram 1	1	1191.0	1194.0	0	12000.0	Hermit Thrush	herthr	0.2944	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1191.0
31	Spectrogram 1	1	1203.0	1206.0	0	12000.0	Hermit Thrush	herthr	0.3172	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1203.0
32	Spectrogram 1	1	1206.0	1209.0	0	12000.0	Hermit Thrush	herthr	0.3133	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1206.0
33	Spectrogram 1	1	1224.0	1227.0	0	12000.0	Hermit Thrush	herthr	0.5624	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1224.0
34	Spectrogram 1	1	1245.0	1248.0	0	12000.0	Hermit Thrush	herthr	0.4579	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1245.0
35	Spectrogram 1	1	1257.0	1260.0	0	12000.0	Hermit Thrush	herthr	0.8505	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1257.0
36	Spectrogram 1	1	1269.0	1272.0	0	12000.0	Hermit Thrush	herthr	0.3847	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1269.0
37	Spectrogram 1	1	1281.0	1284.0	0	12000.0	Hermit Thrush	herthr	0.1511	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1281.0
38	Spectrogram 1	1	1290.0	1293.0	0	12000.0	Hermit Thrush	herthr	0.1988	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1290.0
39	Spectrogram 1	1	1302.0	1305.0	0	12000.0	Hermit Thrush	herthr	0.6270	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1302.0
40	Spectrogram 1	1	1305.0	1308.0	0	12000.0	Hermit Thrush	herthr	0.3269	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1305.0
41	Spectrogram 1	1	1317.0	1320.0	0	12000.0	Northern Parula	norpar	0.1748	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1317.0
42	Spectrogram 1	1	1317.0	1320.0	0	12000.0	Black-throated Blue Warbler	btbwar	0.1330	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1317.0
43	Spectrogram 1	1	1320.0	1323.0	0	12000.0	Black-throated Green Warbler	btnwar	0.1507	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1320.0
44	Spectrogram 1	1	1323.0	1326.0	0	12000.0	Hermit Thrush	herthr	0.6056	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1323.0
45	Spectrogram 1	1	1332.0	1335.0	0	12000.0	Hermit Thrush	herthr	0.2043	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1332.0
46	Spectrogram 1	1	1338.0	1341.0	0	12000.0	Black-throated Blue Warbler	btbwar	0.2392	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1338.0
47	Spectrogram 1	1	1338.0	1341.0	0	12000.0	Northern Parula	norpar	0.1982	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1338.0
48	Spectrogram 1	1	1347.0	1350.0	0	12000.0	Northern Parula	norpar	0.1957	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1347.0
49	Spectrogram 1	1	1347.0	1350.0	0	12000.0	Black-throated Blue Warbler	btbwar	0.1484	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1347.0
50	Spectrogram 1	1	1350.0	1353.0	0	12000.0	Hermit Thrush	herthr	0.1274	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1350.0
51	Spectrogram 1	1	1353.0	1356.0	0	12000.0	Hermit Thrush	herthr	0.1689	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1353.0
52	Spectrogram 1	1	1356.0	1359.0	0	12000.0	Black-throated Blue Warbler	btbwar	0.3861	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1356.0
53	Spectrogram 1	1	1356.0	1359.0	0	12000.0	Northern Parula	norpar	0.3527	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1356.0
54	Spectrogram 1	1	1362.0	1365.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1308	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1362.0
55	Spectrogram 1	1	1365.0	1368.0	0	12000.0	Northern Parula	norpar	0.3344	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1365.0
56	Spectrogram 1	1	1365.0	1368.0	0	12000.0	Black-throated Blue Warbler	btbwar	0.1535	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1365.0
57	Spectrogram 1	1	1368.0	1371.0	0	12000.0	Hermit Thrush	herthr	0.1811	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1368.0
58	Spectrogram 1	1	1374.0	1377.0	0	12000.0	Black-throated Blue Warbler	btbwar	0.1098	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1374.0
59	Spectrogram 1	1	1380.0	1383.0	0	12000.0	Black-throated Blue Warbler	btbwar	0.2866	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1380.0
60	Spectrogram 1	1	1386.0	1389.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.2006	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1386.0
61	Spectrogram 1	1	1389.0	1392.0	0	12000.0	Magnolia Warbler	magwar	0.2348	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1389.0
62	Spectrogram 1	1	1389.0	1392.0	0	12000.0	Blackburnian Warbler	bkbwar	0.1025	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1389.0
63	Spectrogram 1	1	1392.0	1395.0	0	12000.0	Hermit Thrush	herthr	0.3138	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1392.0
64	Spectrogram 1	1	1395.0	1398.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1407	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1395.0
65	Spectrogram 1	1	1398.0	1401.0	0	12000.0	Black-throated Blue Warbler	btbwar	0.1254	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1398.0
66	Spectrogram 1	1	1407.0	1410.0	0	12000.0	Black-throated Blue Warbler	btbwar	0.3798	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1407.0
67	Spectrogram 1	1	1407.0	1410.0	0	12000.0	Northern Parula	norpar	0.1137	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1407.0
68	Spectrogram 1	1	1428.0	1431.0	0	12000.0	Hermit Thrush	herthr	0.1976	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1428.0
69	Spectrogram 1	1	1440.0	1443.0	0	12000.0	Black-throated Blue Warbler	btbwar	0.2172	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1440.0
70	Spectrogram 1	1	1449.0	1452.0	0	12000.0	Black-throated Blue Warbler	btbwar	0.2062	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1449.0
71	Spectrogram 1	1	1449.0	1452.0	0	12000.0	Northern Parula	norpar	0.2047	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1449.0
72	Spectrogram 1	1	1455.0	1458.0	0	12000.0	Black-throated Blue Warbler	btbwar	0.1243	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1455.0
73	Spectrogram 1	1	1464.0	1467.0	0	12000.0	Black-throated Blue Warbler	btbwar	0.1502	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1464.0
74	Spectrogram 1	1	1473.0	1476.0	0	12000.0	Black-throated Green Warbler	btnwar	0.1664	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1473.0
75	Spectrogram 1	1	1473.0	1476.0	0	12000.0	Black-throated Blue Warbler	btbwar	0.1137	D:/Island_Songbirds_2024/MARK-2/Data\MARK-2_20240610_034500.wav	1473.0
