Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	276.0	279.0	0	12000.0	Veery	veery	0.9909	D:/Island_Songbirds_2024/MARS-3/Data\MARS-3_20240910_050800.wav	276.0
2	Spectrogram 1	1	288.0	291.0	0	12000.0	Veery	veery	0.8904	D:/Island_Songbirds_2024/MARS-3/Data\MARS-3_20240910_050800.wav	288.0
3	Spectrogram 1	1	417.0	420.0	0	12000.0	Evening Grosbeak	evegro	0.3386	D:/Island_Songbirds_2024/MARS-3/Data\MARS-3_20240910_050800.wav	417.0
4	Spectrogram 1	1	624.0	627.0	0	12000.0	Cedar Waxwing	cedwax	0.1081	D:/Island_Songbirds_2024/MARS-3/Data\MARS-3_20240910_050800.wav	624.0
5	Spectrogram 1	1	630.0	633.0	0	12000.0	Tufted Titmouse	tuftit	0.3405	D:/Island_Songbirds_2024/MARS-3/Data\MARS-3_20240910_050800.wav	630.0
6	Spectrogram 1	1	804.0	807.0	0	12000.0	House Finch	houfin	0.2799	D:/Island_Songbirds_2024/MARS-3/Data\MARS-3_20240910_050800.wav	804.0
7	Spectrogram 1	1	831.0	834.0	0	12000.0	Swainson's Thrush	swathr	0.6043	D:/Island_Songbirds_2024/MARS-3/Data\MARS-3_20240910_050800.wav	831.0
8	Spectrogram 1	1	843.0	846.0	0	12000.0	Swainson's Thrush	swathr	0.3042	D:/Island_Songbirds_2024/MARS-3/Data\MARS-3_20240910_050800.wav	843.0
9	Spectrogram 1	1	945.0	948.0	0	12000.0	Evening Grosbeak	evegro	0.6042	D:/Island_Songbirds_2024/MARS-3/Data\MARS-3_20240910_050800.wav	945.0
10	Spectrogram 1	1	987.0	990.0	0	12000.0	Tufted Titmouse	tuftit	0.2587	D:/Island_Songbirds_2024/MARS-3/Data\MARS-3_20240910_050800.wav	987.0
11	Spectrogram 1	1	1008.0	1011.0	0	12000.0	Tufted Titmouse	tuftit	0.4019	D:/Island_Songbirds_2024/MARS-3/Data\MARS-3_20240910_050800.wav	1008.0
12	Spectrogram 1	1	1026.0	1029.0	0	12000.0	Swainson's Thrush	swathr	0.1068	D:/Island_Songbirds_2024/MARS-3/Data\MARS-3_20240910_050800.wav	1026.0
13	Spectrogram 1	1	1233.0	1236.0	0	12000.0	Brown Creeper	brncre	0.1360	D:/Island_Songbirds_2024/MARS-3/Data\MARS-3_20240910_050800.wav	1233.0
14	Spectrogram 1	1	1233.0	1236.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1065	D:/Island_Songbirds_2024/MARS-3/Data\MARS-3_20240910_050800.wav	1233.0
15	Spectrogram 1	1	1413.0	1416.0	0	12000.0	Evening Grosbeak	evegro	0.1000	D:/Island_Songbirds_2024/MARS-3/Data\MARS-3_20240910_050800.wav	1413.0
