Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	66.0	69.0	0	12000.0	American Crow	amecro	0.3977	D:/Island_Songbirds_2024/NED-1/Data\NED-1_20240624_044902.wav	66.0
2	Spectrogram 1	1	96.0	99.0	0	12000.0	American Crow	amecro	0.2773	D:/Island_Songbirds_2024/NED-1/Data\NED-1_20240624_044902.wav	96.0
3	Spectrogram 1	1	138.0	141.0	0	12000.0	American Crow	amecro	0.2345	D:/Island_Songbirds_2024/NED-1/Data\NED-1_20240624_044902.wav	138.0
4	Spectrogram 1	1	144.0	147.0	0	12000.0	American Crow	amecro	0.1880	D:/Island_Songbirds_2024/NED-1/Data\NED-1_20240624_044902.wav	144.0
5	Spectrogram 1	1	147.0	150.0	0	12000.0	American Crow	amecro	0.3095	D:/Island_Songbirds_2024/NED-1/Data\NED-1_20240624_044902.wav	147.0
6	Spectrogram 1	1	150.0	153.0	0	12000.0	American Crow	amecro	0.2468	D:/Island_Songbirds_2024/NED-1/Data\NED-1_20240624_044902.wav	150.0
7	Spectrogram 1	1	159.0	162.0	0	12000.0	American Crow	amecro	0.1883	D:/Island_Songbirds_2024/NED-1/Data\NED-1_20240624_044902.wav	159.0
8	Spectrogram 1	1	168.0	171.0	0	12000.0	Black-throated Green Warbler	btnwar	0.2794	D:/Island_Songbirds_2024/NED-1/Data\NED-1_20240624_044902.wav	168.0
9	Spectrogram 1	1	189.0	192.0	0	12000.0	American Crow	amecro	0.6310	D:/Island_Songbirds_2024/NED-1/Data\NED-1_20240624_044902.wav	189.0
10	Spectrogram 1	1	192.0	195.0	0	12000.0	American Crow	amecro	0.3293	D:/Island_Songbirds_2024/NED-1/Data\NED-1_20240624_044902.wav	192.0
11	Spectrogram 1	1	198.0	201.0	0	12000.0	American Crow	amecro	0.3163	D:/Island_Songbirds_2024/NED-1/Data\NED-1_20240624_044902.wav	198.0
12	Spectrogram 1	1	201.0	204.0	0	12000.0	American Crow	amecro	0.1034	D:/Island_Songbirds_2024/NED-1/Data\NED-1_20240624_044902.wav	201.0
13	Spectrogram 1	1	213.0	216.0	0	12000.0	Black-throated Green Warbler	btnwar	0.2606	D:/Island_Songbirds_2024/NED-1/Data\NED-1_20240624_044902.wav	213.0
14	Spectrogram 1	1	216.0	219.0	0	12000.0	American Crow	amecro	0.2126	D:/Island_Songbirds_2024/NED-1/Data\NED-1_20240624_044902.wav	216.0
15	Spectrogram 1	1	222.0	225.0	0	12000.0	Common Raven	comrav	0.2601	D:/Island_Songbirds_2024/NED-1/Data\NED-1_20240624_044902.wav	222.0
