Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0	3.0	0	12000.0	Golden-crowned Kinglet	gockin	0.9786	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	0
2	Spectrogram 1	1	3.0	6.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1343	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	3.0
3	Spectrogram 1	1	3.0	6.0	0	12000.0	Black-capped Chickadee	bkcchi	0.1148	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	3.0
4	Spectrogram 1	1	12.0	15.0	0	12000.0	Golden-crowned Kinglet	gockin	0.8177	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	12.0
5	Spectrogram 1	1	15.0	18.0	0	12000.0	Golden-crowned Kinglet	gockin	0.2527	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	15.0
6	Spectrogram 1	1	24.0	27.0	0	12000.0	Hairy Woodpecker	haiwoo	0.8699	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	24.0
7	Spectrogram 1	1	30.0	33.0	0	12000.0	Hairy Woodpecker	haiwoo	0.8647	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	30.0
8	Spectrogram 1	1	33.0	36.0	0	12000.0	Hairy Woodpecker	haiwoo	0.7154	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	33.0
9	Spectrogram 1	1	36.0	39.0	0	12000.0	Hairy Woodpecker	haiwoo	0.8168	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	36.0
10	Spectrogram 1	1	39.0	42.0	0	12000.0	Hairy Woodpecker	haiwoo	0.4085	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	39.0
11	Spectrogram 1	1	42.0	45.0	0	12000.0	Hairy Woodpecker	haiwoo	0.8977	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	42.0
12	Spectrogram 1	1	45.0	48.0	0	12000.0	Golden-crowned Kinglet	gockin	0.9218	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	45.0
13	Spectrogram 1	1	48.0	51.0	0	12000.0	Hairy Woodpecker	haiwoo	0.5941	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	48.0
14	Spectrogram 1	1	51.0	54.0	0	12000.0	Hairy Woodpecker	haiwoo	0.5388	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	51.0
15	Spectrogram 1	1	54.0	57.0	0	12000.0	Hairy Woodpecker	haiwoo	0.6653	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	54.0
16	Spectrogram 1	1	57.0	60.0	0	12000.0	Hairy Woodpecker	haiwoo	0.5460	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	57.0
17	Spectrogram 1	1	60.0	63.0	0	12000.0	Hairy Woodpecker	haiwoo	0.4228	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	60.0
18	Spectrogram 1	1	63.0	66.0	0	12000.0	Hairy Woodpecker	haiwoo	0.6645	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	63.0
19	Spectrogram 1	1	66.0	69.0	0	12000.0	Hairy Woodpecker	haiwoo	0.4989	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	66.0
20	Spectrogram 1	1	72.0	75.0	0	12000.0	Golden-crowned Kinglet	gockin	0.3543	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	72.0
21	Spectrogram 1	1	87.0	90.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1144	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	87.0
22	Spectrogram 1	1	99.0	102.0	0	12000.0	Common Raven	comrav	0.1713	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	99.0
23	Spectrogram 1	1	108.0	111.0	0	12000.0	Hairy Woodpecker	haiwoo	0.8534	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	108.0
24	Spectrogram 1	1	111.0	114.0	0	12000.0	Hairy Woodpecker	haiwoo	0.6906	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	111.0
25	Spectrogram 1	1	117.0	120.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1034	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	117.0
26	Spectrogram 1	1	120.0	123.0	0	12000.0	Pileated Woodpecker	pilwoo	0.9854	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	120.0
27	Spectrogram 1	1	123.0	126.0	0	12000.0	Pileated Woodpecker	pilwoo	0.1081	D:/Island_Songbirds_2024/PENO-2/Data\PENO-2_20240504_191300.wav	123.0
