Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	9.0	12.0	0	12000.0	Golden-crowned Kinglet	gockin	0.4835	D:/Island_Songbirds_2024/PINK-1/Data\PINK-1_20240519_192700.wav	9.0
2	Spectrogram 1	1	15.0	18.0	0	12000.0	Golden-crowned Kinglet	gockin	0.2443	D:/Island_Songbirds_2024/PINK-1/Data\PINK-1_20240519_192700.wav	15.0
3	Spectrogram 1	1	24.0	27.0	0	12000.0	Wood Thrush	woothr	0.1655	D:/Island_Songbirds_2024/PINK-1/Data\PINK-1_20240519_192700.wav	24.0
4	Spectrogram 1	1	57.0	60.0	0	12000.0	Golden-crowned Kinglet	gockin	0.2723	D:/Island_Songbirds_2024/PINK-1/Data\PINK-1_20240519_192700.wav	57.0
5	Spectrogram 1	1	57.0	60.0	0	12000.0	Blackburnian Warbler	bkbwar	0.1704	D:/Island_Songbirds_2024/PINK-1/Data\PINK-1_20240519_192700.wav	57.0
6	Spectrogram 1	1	63.0	66.0	0	12000.0	Magnolia Warbler	magwar	0.1075	D:/Island_Songbirds_2024/PINK-1/Data\PINK-1_20240519_192700.wav	63.0
7	Spectrogram 1	1	81.0	84.0	0	12000.0	Wood Thrush	woothr	0.1942	D:/Island_Songbirds_2024/PINK-1/Data\PINK-1_20240519_192700.wav	81.0
8	Spectrogram 1	1	87.0	90.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1420	D:/Island_Songbirds_2024/PINK-1/Data\PINK-1_20240519_192700.wav	87.0
9	Spectrogram 1	1	87.0	90.0	0	12000.0	Blackburnian Warbler	bkbwar	0.1242	D:/Island_Songbirds_2024/PINK-1/Data\PINK-1_20240519_192700.wav	87.0
10	Spectrogram 1	1	96.0	99.0	0	12000.0	Blackburnian Warbler	bkbwar	0.1768	D:/Island_Songbirds_2024/PINK-1/Data\PINK-1_20240519_192700.wav	96.0
11	Spectrogram 1	1	102.0	105.0	0	12000.0	Yellow-bellied Sapsucker	yebsap	0.2087	D:/Island_Songbirds_2024/PINK-1/Data\PINK-1_20240519_192700.wav	102.0
12	Spectrogram 1	1	105.0	108.0	0	12000.0	Blackburnian Warbler	bkbwar	0.1511	D:/Island_Songbirds_2024/PINK-1/Data\PINK-1_20240519_192700.wav	105.0
13	Spectrogram 1	1	105.0	108.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1270	D:/Island_Songbirds_2024/PINK-1/Data\PINK-1_20240519_192700.wav	105.0
14	Spectrogram 1	1	129.0	132.0	0	12000.0	Magnolia Warbler	magwar	0.1200	D:/Island_Songbirds_2024/PINK-1/Data\PINK-1_20240519_192700.wav	129.0
15	Spectrogram 1	1	153.0	156.0	0	12000.0	Swainson's Thrush	swathr	0.3253	D:/Island_Songbirds_2024/PINK-1/Data\PINK-1_20240519_192700.wav	153.0
