Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	6.0	9.0	0	12000.0	Brown Creeper	brncre	0.1334	D:/Island_Songbirds_2024/TURT-1/Data\TURT-1_20240802_052102.wav	6.0
2	Spectrogram 1	1	54.0	57.0	0	12000.0	Golden-crowned Kinglet	gockin	0.3553	D:/Island_Songbirds_2024/TURT-1/Data\TURT-1_20240802_052102.wav	54.0
3	Spectrogram 1	1	54.0	57.0	0	12000.0	Brown Creeper	brncre	0.2187	D:/Island_Songbirds_2024/TURT-1/Data\TURT-1_20240802_052102.wav	54.0
4	Spectrogram 1	1	78.0	81.0	0	12000.0	Brown Creeper	brncre	0.1085	D:/Island_Songbirds_2024/TURT-1/Data\TURT-1_20240802_052102.wav	78.0
5	Spectrogram 1	1	96.0	99.0	0	12000.0	Black-and-white Warbler	bawwar	0.2880	D:/Island_Songbirds_2024/TURT-1/Data\TURT-1_20240802_052102.wav	96.0
6	Spectrogram 1	1	108.0	111.0	0	12000.0	Cedar Waxwing	cedwax	0.1484	D:/Island_Songbirds_2024/TURT-1/Data\TURT-1_20240802_052102.wav	108.0
7	Spectrogram 1	1	198.0	201.0	0	12000.0	Cedar Waxwing	cedwax	0.2434	D:/Island_Songbirds_2024/TURT-1/Data\TURT-1_20240802_052102.wav	198.0
8	Spectrogram 1	1	204.0	207.0	0	12000.0	Cedar Waxwing	cedwax	0.3996	D:/Island_Songbirds_2024/TURT-1/Data\TURT-1_20240802_052102.wav	204.0
9	Spectrogram 1	1	207.0	210.0	0	12000.0	Cedar Waxwing	cedwax	0.3436	D:/Island_Songbirds_2024/TURT-1/Data\TURT-1_20240802_052102.wav	207.0
10	Spectrogram 1	1	210.0	213.0	0	12000.0	Cedar Waxwing	cedwax	0.6536	D:/Island_Songbirds_2024/TURT-1/Data\TURT-1_20240802_052102.wav	210.0
11	Spectrogram 1	1	267.0	270.0	0	12000.0	Cedar Waxwing	cedwax	0.2784	D:/Island_Songbirds_2024/TURT-1/Data\TURT-1_20240802_052102.wav	267.0
12	Spectrogram 1	1	267.0	270.0	0	12000.0	Brown Creeper	brncre	0.2007	D:/Island_Songbirds_2024/TURT-1/Data\TURT-1_20240802_052102.wav	267.0
13	Spectrogram 1	1	273.0	276.0	0	12000.0	Cedar Waxwing	cedwax	0.8979	D:/Island_Songbirds_2024/TURT-1/Data\TURT-1_20240802_052102.wav	273.0
14	Spectrogram 1	1	282.0	285.0	0	12000.0	Cedar Waxwing	cedwax	0.1390	D:/Island_Songbirds_2024/TURT-1/Data\TURT-1_20240802_052102.wav	282.0
15	Spectrogram 1	1	309.0	312.0	0	12000.0	Winter Wren	winwre3	0.1607	D:/Island_Songbirds_2024/TURT-1/Data\TURT-1_20240802_052102.wav	309.0
16	Spectrogram 1	1	321.0	324.0	0	12000.0	Golden-crowned Kinglet	gockin	0.4015	D:/Island_Songbirds_2024/TURT-1/Data\TURT-1_20240802_052102.wav	321.0
17	Spectrogram 1	1	342.0	345.0	0	12000.0	Cedar Waxwing	cedwax	0.1598	D:/Island_Songbirds_2024/TURT-1/Data\TURT-1_20240802_052102.wav	342.0
18	Spectrogram 1	1	345.0	348.0	0	12000.0	Brown Creeper	brncre	0.2021	D:/Island_Songbirds_2024/TURT-1/Data\TURT-1_20240802_052102.wav	345.0
19	Spectrogram 1	1	345.0	348.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1935	D:/Island_Songbirds_2024/TURT-1/Data\TURT-1_20240802_052102.wav	345.0
20	Spectrogram 1	1	348.0	351.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1860	D:/Island_Songbirds_2024/TURT-1/Data\TURT-1_20240802_052102.wav	348.0
21	Spectrogram 1	1	348.0	351.0	0	12000.0	Cedar Waxwing	cedwax	0.1041	D:/Island_Songbirds_2024/TURT-1/Data\TURT-1_20240802_052102.wav	348.0
