Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	9.0	12.0	0	12000.0	Golden-crowned Kinglet	gockin	0.3096	D:/Island_Songbirds_2024/WEHE-1/Data\WEHE-1_20240616_194600.wav	9.0
2	Spectrogram 1	1	12.0	15.0	0	12000.0	Golden-crowned Kinglet	gockin	0.2143	D:/Island_Songbirds_2024/WEHE-1/Data\WEHE-1_20240616_194600.wav	12.0
3	Spectrogram 1	1	81.0	84.0	0	12000.0	Swainson's Thrush	swathr	0.6715	D:/Island_Songbirds_2024/WEHE-1/Data\WEHE-1_20240616_194600.wav	81.0
4	Spectrogram 1	1	93.0	96.0	0	12000.0	Swainson's Thrush	swathr	0.3886	D:/Island_Songbirds_2024/WEHE-1/Data\WEHE-1_20240616_194600.wav	93.0
5	Spectrogram 1	1	96.0	99.0	0	12000.0	Golden-crowned Kinglet	gockin	0.2888	D:/Island_Songbirds_2024/WEHE-1/Data\WEHE-1_20240616_194600.wav	96.0
6	Spectrogram 1	1	102.0	105.0	0	12000.0	Swainson's Thrush	swathr	0.3752	D:/Island_Songbirds_2024/WEHE-1/Data\WEHE-1_20240616_194600.wav	102.0
7	Spectrogram 1	1	108.0	111.0	0	12000.0	Swainson's Thrush	swathr	0.7940	D:/Island_Songbirds_2024/WEHE-1/Data\WEHE-1_20240616_194600.wav	108.0
8	Spectrogram 1	1	180.0	183.0	0	12000.0	Hermit Thrush	herthr	0.2545	D:/Island_Songbirds_2024/WEHE-1/Data\WEHE-1_20240616_194600.wav	180.0
9	Spectrogram 1	1	222.0	225.0	0	12000.0	Hermit Thrush	herthr	0.3321	D:/Island_Songbirds_2024/WEHE-1/Data\WEHE-1_20240616_194600.wav	222.0
10	Spectrogram 1	1	222.0	225.0	0	12000.0	Swainson's Thrush	swathr	0.3270	D:/Island_Songbirds_2024/WEHE-1/Data\WEHE-1_20240616_194600.wav	222.0
11	Spectrogram 1	1	234.0	237.0	0	12000.0	Brown Creeper	brncre	0.1761	D:/Island_Songbirds_2024/WEHE-1/Data\WEHE-1_20240616_194600.wav	234.0
12	Spectrogram 1	1	243.0	246.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1217	D:/Island_Songbirds_2024/WEHE-1/Data\WEHE-1_20240616_194600.wav	243.0
13	Spectrogram 1	1	252.0	255.0	0	12000.0	Golden-crowned Kinglet	gockin	0.3396	D:/Island_Songbirds_2024/WEHE-1/Data\WEHE-1_20240616_194600.wav	252.0
14	Spectrogram 1	1	255.0	258.0	0	12000.0	Swainson's Thrush	swathr	0.5928	D:/Island_Songbirds_2024/WEHE-1/Data\WEHE-1_20240616_194600.wav	255.0
